SUPPORTED TOOLS
===============

@angular/cli
------------
  1.8.0        - PRO: ✔️, COMMUNITY: ✔️
  1.7.3        - PRO: ✔️, COMMUNITY: ✔️
  1.7.2        - PRO: ✔️, COMMUNITY: ✔️
  1.7.1        - PRO: ✔️, COMMUNITY: ✔️
  1.7.0        - PRO: ✔️, COMMUNITY: ✔️
  1.6.0        - PRO: ✔️, COMMUNITY: ✔️
  1.5.7        - PRO: ✔️, COMMUNITY: ✔️
  1.5.6        - PRO: ✔️, COMMUNITY: ✔️
  1.5.5        - PRO: ✔️, COMMUNITY: ✔️
  1.5.4        - PRO: ✔️, COMMUNITY: ✔️
  1.5.3        - PRO: ✔️, COMMUNITY: ✔️
  1.5.2        - PRO: ✔️, COMMUNITY: ✔️
  1.5.1        - PRO: ✔️, COMMUNITY: ✔️
  1.5.0        - PRO: ✔️, COMMUNITY: ✔️
  1.4.5        - PRO: ✔️, COMMUNITY: ✔️
  1.4.4        - PRO: ✔️, COMMUNITY: ✔️
  1.4.3        - PRO: ✔️, COMMUNITY: ✔️
  1.4.2        - PRO: ✔️, COMMUNITY: ✔️
  1.4.1        - PRO: ✔️, COMMUNITY: ✔️
  1.4.0        - PRO: ✔️, COMMUNITY: ✔️
  1.3.5        - PRO: ✔️, COMMUNITY: ✔️
  1.3.4        - PRO: ✔️, COMMUNITY: ✔️
  1.3.3        - PRO: ✔️, COMMUNITY: ✔️
  1.3.2        - PRO: ✔️, COMMUNITY: ✔️
  1.3.1        - PRO: ✔️, COMMUNITY: ✔️
  1.3.0        - PRO: ✔️, COMMUNITY: ✔️
  1.2.19       - PRO: ✔️, COMMUNITY: ✔️
  1.2.18       - PRO: ✔️, COMMUNITY: ✔️
  1.2.17       - PRO: ✔️, COMMUNITY: ✔️
  1.2.16       - PRO: ✔️, COMMUNITY: ✔️
  1.2.15       - PRO: ✔️, COMMUNITY: ✔️
  1.2.14       - PRO: ✔️, COMMUNITY: ✔️
  1.2.13       - PRO: ✔️, COMMUNITY: ✔️
  1.2.12       - PRO: ✔️, COMMUNITY: ✔️
